,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,t6,m,tret
3842,3842,5.15,487.25,0.0,22.904227464379602,23.030085448951308,23.523085896484126,24.28033910793444,23.886208566099334,23.038759147414737,76.0571633791522,22.893380759491812
3843,3843,5.2,526.1666666666666,0.0,22.932366127286514,24.373410556874557,23.430279515742267,23.59470250677923,24.099148504949174,22.98005043739205,103.92596057775951,22.92926487819175
3844,3844,5.25,565.0833333333333,0.0,22.936666891656213,24.519374647500037,23.084750299525695,24.17912200700997,23.04564641412847,23.06318686693516,102.45775637883922,22.93769458118103
3845,3845,5.3,604.0,0.0,22.9687229616598,23.453509554023828,23.86767979591127,24.75064728324606,23.530876487255988,22.99650639456868,123.37225607613796,22.960315405403446
3846,3846,5.35,621.3333333333334,0.0,23.00697774507549,23.57963602134512,24.630430496754073,24.04711774185805,23.85613743396823,23.026118342223697,121.17124271739858,22.99647648387826
3847,3847,5.4,638.6666666666666,0.0,23.065946748256078,24.768871948156573,24.94867139636225,23.122647349431983,23.974199730511106,23.001725363753557,124.73693750497324,23.05177366873622
3848,3848,5.4499999999999975,656.0,0.0,23.071590678029253,23.27826981864769,23.17846016950028,23.612392458491502,24.12953185664732,22.89451330081955,110.89459588072654,23.08443608524773
3849,3849,5.5,673.3333333333333,0.0,22.983018875538754,23.568561302947394,24.453263872538013,24.755609168853827,24.319027109130893,23.006714643286877,108.02291447950137,22.998857843642078
3850,3850,5.55,690.6666666666665,0.0,23.00372468525617,23.27254137116469,24.13335063348975,23.455031045088553,23.92246237602252,22.938655027673587,105.7586127998842,23.00599371346
3851,3851,5.6,708.0,0.0,23.000104220338926,24.53379070672724,23.07619499567284,23.032593651018914,23.948036878604906,22.96327219200705,125.66615026176665,22.99748690744193
3852,3852,5.691666666666666,725.3333333333335,0.0,23.06884822947033,23.54632136198936,24.1581308762724,24.50807065778645,24.111949839545698,23.011785845994428,132.2265317402701,23.049392769040214
3853,3853,5.783333333333332,742.6666666666667,0.0,23.08008605882891,23.016004488683947,24.37914480704177,23.29794648103636,24.278895209151372,23.04993167921425,53.542006127533206,23.085574567346306
3854,3854,5.874999999999999,760.0,0.0,23.04829368666077,23.019911087855178,24.6778969046568,23.101965904102588,23.19999335467589,23.090635774396766,108.44652126998501,23.064404397271836
3855,3855,5.966666666666668,777.3333333333335,0.0,23.06214764204064,24.543981588208837,24.71977882413837,24.54192352313089,23.94027703919992,23.116794048449144,117.84525656696472,23.05521546931761
3856,3856,6.058333333333334,794.6666666666665,0.0,23.093931639465307,23.43768111277973,24.51133898134221,23.80158163032616,23.13354367999731,22.990739658878393,118.64020849384464,23.098177612303072
3857,3857,6.15,812.0,0.0,23.025356006725307,24.80799328199045,24.94815178342819,23.79998041897493,23.1598604914079,23.07062782837137,101.30640045416628,23.036916340931924
3858,3858,6.241666666666667,819.5833333333335,0.0,23.06711161982151,23.594385522361673,24.068498925532474,23.25564594858352,23.120409302194773,23.09995213011398,57.39861845877118,23.0619715271974
3859,3859,6.333333333333334,827.1666666666667,0.0,23.04345429615423,23.213440135608643,24.647359373287053,24.62229782488338,23.338912001499445,23.034123306481018,112.97581456456776,23.0522430538689
3860,3860,6.4250000000000025,834.75,0.0,23.02671526784121,24.10352351174015,23.320473319512978,24.88950845420797,23.170865451462607,23.01985711000353,109.83808808805846,23.03272131093279
3861,3861,6.516666666666668,842.3333333333335,0.0,23.036037708356535,23.53163909072305,24.25474426590177,23.62845149387972,23.551380771318865,23.044944913103627,120.69018927095414,23.036243072445536
3862,3862,6.6083333333333325,849.9166666666667,0.0,23.02281137467175,23.609493256218194,24.995762491801656,23.20231270795125,23.32218336605629,23.12030812566597,107.2577793756021,23.02518238794836
3863,3863,6.7,857.5,0.0,23.064749147518818,23.71920762423269,24.870625389662166,24.21222328462207,23.91624090272201,23.16199044546235,128.77716610503322,23.047815102554694
3864,3864,6.741666666666666,865.0833333333333,0.0,23.09589224922675,23.829039125614727,24.671812651814605,23.287113022483872,23.844454338768486,23.05958045749981,127.4800086566916,23.08666976829321
3865,3865,6.783333333333334,872.6666666666665,0.0,23.08882019857433,23.66328023796189,24.325156288015517,23.588312328723262,23.613377938911405,23.122420402614175,110.27389637856493,23.09504785774636
3866,3866,6.825,880.25,0.0,23.099806953408798,24.458138015127783,24.18112877082745,24.557471121944793,23.009214827818518,23.17993226163836,56.33152721547578,23.097689630796708
3867,3867,6.866666666666667,887.8333333333335,0.0,23.11128832561284,24.708784778637447,23.05169141727232,24.77810514882852,23.575718466041213,23.09518886837133,123.94262152027628,23.109700784426302
3868,3868,6.908333333333332,895.4166666666665,0.0,23.132674152038607,23.517039458975592,23.09972032025825,24.15419457451057,23.38143692338253,23.07004180774143,84.11345566549163,23.135213363410607
3869,3869,6.95,903.0,0.0,23.080490956299425,24.75946500790077,23.46831716459949,23.12677280024792,23.878366844309696,23.002616580364442,120.43659559008164,23.09239041452522
3870,3870,6.991666666666667,899.9166666666665,0.0,23.09177201195629,23.832360918493517,23.738792530214766,24.098944446566573,23.78111253259618,22.91513185053216,135.51898411266973,23.0929264672431
3871,3871,7.033333333333332,896.8333333333335,0.0,23.02931070438991,23.36702881828929,23.070000163403808,23.60033682534621,23.43402407727613,22.9405912605128,118.7459145325069,23.05135499160109
3872,3872,7.075,893.75,0.0,23.008472281198372,24.78819946635457,23.05008653185043,23.097727568289976,23.908894888618544,23.03921228691016,129.10165514218713,23.00355670827445
3873,3873,7.116666666666666,890.6666666666665,0.0,23.09011706737242,24.73265063523869,24.245518877921977,23.239130234401397,23.21906154960608,23.12591011374378,116.27243052127888,23.07280922491593
3874,3874,7.158333333333332,887.5833333333333,0.0,23.09804373480106,23.52089119800837,23.775560047299102,24.529961038401808,23.39922361608356,22.89587621626768,119.46104610154563,23.10567295065536
3875,3875,7.2,884.5,0.0,23.00208295828509,23.635262665275327,23.041693601801253,24.350060453192878,23.014207787707015,22.85643265817793,115.69420849040743,23.028824387593993
3876,3876,7.25,881.4166666666667,0.0,22.987806677825603,24.871355048128137,24.41553909650791,23.624187115778646,23.600564383147308,22.9540293638838,123.97674336381165,22.984713106439024
3877,3877,7.3,878.3333333333335,0.0,23.04585184839535,24.741469287780323,24.84812176621673,23.06647507785017,23.53040307099448,23.00769229517246,107.44451564817913,23.03260216799077
3878,3878,7.350000000000001,875.25,0.0,23.08173681676257,23.685700751503163,23.19156080213344,23.05995584535923,23.370093190927427,22.877884846225317,135.58691707929458,23.08424840603721
3879,3879,7.4,872.1666666666667,0.0,23.044345049839592,24.95020853896694,24.552098352683004,23.279226564818764,23.02419378415697,22.89744740935021,108.832790596694,23.05562735806167
3880,3880,7.4499999999999975,869.0833333333335,0.0,23.048154663417787,23.89902180722177,23.87853476280581,24.273783474346967,23.38710604804726,22.822857790072483,132.6286051101178,23.053679126361818
3881,3881,7.5,866.0,0.0,23.046436563838697,24.86531425719257,24.729899541924272,23.22468183542952,23.023097877738053,22.89959364760773,122.13813125834507,23.045474451828657
3882,3882,7.55,864.4166666666669,0.0,23.050171258347696,23.646835113656092,23.699089727213224,24.336270005880426,23.07310026256011,22.73123606611589,137.37347758671444,23.058708248069163
3883,3883,7.6,862.8333333333335,0.0,23.03203701442553,23.608567712726213,24.65987983723084,23.22052951780625,23.568133172096292,22.801893141086307,138.40418761916158,23.038449566003962
3884,3884,7.65,861.25,0.0,23.053203196073703,23.99070893729944,24.859353657624744,24.564203882062806,24.05960750190497,22.90515485704932,133.9048983096834,23.04014639877304
3885,3885,7.6999999999999975,859.6666666666669,0.0,23.067167813692603,23.31060257086565,24.770354656996012,24.67972169984117,22.83121889466287,22.77645038959239,127.90963239507866,23.07918648385067
3886,3886,7.75,858.0833333333335,0.0,22.989426759375768,24.80758219162668,24.128471450442053,24.49050267790597,24.064671437241675,22.82876328537955,115.74397863605252,23.000033158210396
3887,3887,7.8,856.5,0.0,23.0534536315941,23.661475124784054,23.47700673663288,23.438769683913023,23.54561527744277,22.699319116409157,135.19668559066872,23.04382799149404
3888,3888,7.749999999999999,854.9166666666665,0.0,22.995382403417878,23.281338099191252,24.282881236434488,23.5797184991599,23.788864969888447,22.571533254292284,126.21083955595978,23.01606772974237
3889,3889,7.7,853.3333333333331,0.0,22.906702050040998,23.250473993905878,24.230948721139196,24.72241809040453,23.561016034172702,22.580341478730844,118.84318506371766,22.930330986620003
3890,3890,7.65,851.75,0.0,22.910792887298,24.53749106279953,24.38925932693029,24.60056032574357,23.175405446380505,22.637640436964197,106.18167966042202,22.907281672850644
3891,3891,7.6,850.1666666666669,0.0,22.95014649136163,24.970432599268516,24.76765283706673,24.79933663542251,23.70836034065593,22.67831049460317,124.04316242809216,22.93369283493287
3892,3892,7.549999999999999,848.5833333333331,0.0,23.01743230495071,23.782124067360893,24.969484188479534,23.262979210530247,22.818516570740794,22.56542055250928,132.11020377816592,23.017194102590146
3893,3893,7.5,847.0,0.0,22.884204463685368,23.101800299698443,24.277269527589176,24.404744502351605,23.347445516224646,22.42997931725197,120.5874806750376,22.920730585796193
3894,3894,7.4499999999999975,854.1666666666665,0.0,22.8963284855191,24.32994234090797,23.124968937419013,24.92301624327148,23.03231819773561,22.49816702414353,113.36632419072248,22.8967614835612
3895,3895,7.4,861.3333333333335,0.0,22.884559017520946,23.43593465099212,23.179415208167825,24.220792589856053,23.008534140103144,22.4357939303522,138.11943594305976,22.89550080588121
3896,3896,7.350000000000001,868.5,0.0,22.868216063250788,23.25194102289145,24.095259566249446,23.20931671938047,23.22753817077057,22.392480244715852,143.3448099945773,22.874136128367425
3897,3897,7.3,875.6666666666665,0.0,22.80309257220402,23.49284725016657,23.337599403544512,23.090433263773473,23.0228468790078,22.340040119010983,118.59161214121832,22.825520938927216
3898,3898,7.25,882.8333333333333,0.0,22.76447130410036,23.228245736244844,23.072332959299768,23.45772442855175,23.29682348611655,22.333362924406988,133.71216324851696,22.781010072125
3899,3899,7.2,890.0,0.0,22.777447979693733,23.359599408574084,23.00045398852773,24.34710752329596,23.71734209710597,22.433657009510952,135.93022259827669,22.77110456930661
3900,3900,7.25,897.1666666666667,0.0,22.84186597774807,24.836729308417357,24.22713717830909,23.814579252432708,23.03945159296461,22.54074244101943,121.01097222369584,22.82345774497624
3901,3901,7.3,904.3333333333336,0.0,22.878824301905322,24.548534334362692,24.595191882743503,24.46074244913024,23.81110080032027,22.63647657297885,115.7933879677777,22.858390376023173
3902,3902,7.350000000000001,911.5,0.0,22.922151325278076,24.07797109699656,24.182609526947772,24.89682085103809,23.20769551773981,22.593557362179464,115.08484464244282,22.910815816073843
3903,3903,7.4,918.6666666666667,0.0,22.960867426064855,24.42165602158568,24.1404542467372,24.13315555156523,24.09772649583116,22.69510304656797,131.75922332144071,22.93521633898729
3904,3904,7.4499999999999975,925.8333333333336,0.0,22.962714179132014,23.57508752569637,22.977690139106144,23.126902863616465,24.23913668404823,22.474055488745126,122.00256394264544,22.97357149739448
3905,3905,7.5,933.0,0.0,22.88951918791069,24.81129505754147,24.34205210545875,24.406074205035964,24.289852833355198,22.4862913558952,119.51025191381834,22.89915438199811
3906,3906,7.55,927.5833333333335,0.0,22.978716917266325,24.65574537053401,23.71004992809177,24.60980349875523,23.09291538092293,22.63457192068233,121.8507032773323,22.96086782754306
3907,3907,7.6,922.1666666666665,0.0,23.02702718455317,24.019598372881088,24.50596940256382,23.944806127551487,23.69473002660637,22.607062129085694,140.88304165200796,23.015553256834327
3908,3908,7.65,916.75,0.0,23.02044497259881,23.733019790570324,23.657779004716787,24.773819094964317,24.02540208529431,22.543619726666517,129.9842812487941,23.02985252209217
3909,3909,7.6999999999999975,911.3333333333335,0.0,22.99273082944109,23.27557837409791,24.28097378099679,24.76022599495049,23.07700185486898,22.39343562849325,129.73441528025006,23.008391437264446
3910,3910,7.75,905.9166666666665,0.0,22.85975518519727,23.02719229166725,24.79771147142293,24.23373659441891,23.615362079347364,22.262890170677405,118.99636822238607,22.89755151815812
3911,3911,7.8,900.5,0.0,22.821719539258304,24.504788296091036,24.353527078976086,23.81349582656888,23.099826035168977,22.428864227147574,115.29313995103679,22.82547895832961
